experiment,seed,epochs,batch_size,learning_rate,warmup_steps,train_runtime_s,train_loss,val_loss,val_precision,val_recall,val_f1,test_loss,test_precision,test_recall,test_f1
baseline,42,3,8,2e-05,15,39.0,0.5501,0.1686,0.7788,0.8319,0.8045,0.17,0.7776,0.8318,0.8038
baseline,43,3,8,2e-05,15,37.76,0.5389,0.1666,0.7712,0.8358,0.8022,0.1643,0.7714,0.8303,0.7998
baseline,44,3,8,2e-05,15,37.82,0.5174,0.1599,0.7905,0.8373,0.8132,0.1557,0.7927,0.8417,0.8165
epochs_5,42,5,8,2e-05,25,63.02,0.3853,0.127,0.8341,0.878,0.8555,0.1252,0.8262,0.8755,0.8501
epochs_5,43,5,8,2e-05,25,63.16,0.3806,0.1276,0.8269,0.8786,0.852,0.1212,0.8319,0.8833,0.8569
epochs_5,44,5,8,2e-05,25,63.09,0.3648,0.1267,0.8356,0.8816,0.858,0.1191,0.8313,0.8797,0.8548
lr_3e5,42,3,8,3e-05,15,38.23,0.4527,0.1366,0.816,0.8672,0.8408,0.1343,0.8034,0.8613,0.8314
lr_3e5,43,3,8,3e-05,15,38.24,0.449,0.1356,0.8046,0.8645,0.8335,0.1329,0.8064,0.8649,0.8346
lr_3e5,44,3,8,3e-05,15,38.21,0.4271,0.1322,0.821,0.8642,0.8421,0.1265,0.8142,0.8613,0.8371
batch_16,42,3,16,2e-05,8,36.52,0.847,0.3492,0.613,0.5604,0.5855,0.3485,0.6065,0.5424,0.5727
batch_16,43,3,16,2e-05,8,36.77,0.8168,0.3111,0.6038,0.6124,0.6081,0.3097,0.596,0.584,0.5899
batch_16,44,3,16,2e-05,8,36.72,0.7925,0.2951,0.6303,0.6142,0.6221,0.2886,0.6397,0.6135,0.6263
